"","name_prov","year","ganador","ganadorPais","match"
"132","NEUQUEN",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"133","NEUQUEN",2011,"2011 Fernández de Kirchner - Boudou (ALIANZA FRENTE PARA LA VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"134","NEUQUEN",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"135","NEUQUEN",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"136","RIO NEGRO",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"137","RIO NEGRO",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"138","RIO NEGRO",1995,"1995 Alianza Frente Para El Cambio","1995 Menem - Ruckauf",NA
"139","RIO NEGRO",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"140","RIO NEGRO",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"141","RIO NEGRO",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"142","RIO NEGRO",2011,"2011 Fernández de Kirchner - Boudou (ALIANZA FRENTE PARA LA VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"143","RIO NEGRO",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"144","RIO NEGRO",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"145","SALTA",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"146","SALTA",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"147","SALTA",1995,"1995 Frente Justicialista","1995 Menem - Ruckauf",NA
"148","SALTA",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"149","SALTA",2003,"2003 Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"150","SALTA",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"151","SALTA",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"152","SALTA",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"153","SALTA",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"154","SAN JUAN",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"155","SAN JUAN",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"156","SAN JUAN",1995,"1995 Alianza Frente Justicialista Popular","1995 Menem - Ruckauf",NA
"157","SAN JUAN",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"158","SAN JUAN",2003,"2003 Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"159","SAN JUAN",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"160","SAN JUAN",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"161","SAN JUAN",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"162","SAN JUAN",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"163","SAN LUIS",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"164","SAN LUIS",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"165","SAN LUIS",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"166","SAN LUIS",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"167","SAN LUIS",2003,"2003 Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"168","SAN LUIS",2007,"2007 Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"169","SAN LUIS",2011,"2011 Rodríguez.Saa.-.Vernet.(ALIANZA.COMPROMISO.FEDERAL)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"170","SAN LUIS",2015,"2015 Rodriguez Saa - Negre De Alonso (Alianza Compromiso Federal)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"171","SAN LUIS",2019,"2019 Macri - Pichetto (Juntos Por El Cambio)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"172","SANTA CRUZ",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"173","SANTA CRUZ",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"174","SANTA CRUZ",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"175","SANTA CRUZ",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"176","SANTA CRUZ",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"177","SANTA CRUZ",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"178","SANTA CRUZ",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"179","SANTA CRUZ",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"180","SANTA CRUZ",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"181","SANTA FE",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"182","SANTA FE",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
