"","name_prov","year","ganador","ganadorPais","match"
"183","SANTA FE",1995,"1995 Alianza Frente Pais Solidario","1995 Menem - Ruckauf",NA
"184","SANTA FE",1999,"1999 De La Rua - Alvarez","1999 De La Rua - Alvarez",1
"185","SANTA FE",2003,"2003 Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",1
"186","SANTA FE",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",1
"187","SANTA FE",2011,"2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",1
"188","SANTA FE",2015,"2015 Macri - Michetti (Alianza Cambiemos)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"189","SANTA FE",2019,"2019 Macri - Pichetto (Juntos Por El Cambio)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"190","SANTIAGO DEL ESTERO",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"191","SANTIAGO DEL ESTERO",1989,"1989 Frente Corriente Renovadora","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"192","SANTIAGO DEL ESTERO",1995,"1995 Alianza Frente Justicialista","1995 Menem - Ruckauf",1
